,Date,KS confirmed,KY confirmed,KS deaths,KY deaths
0,2020-01-22,0,0,0,0
1,2020-01-23,0,0,0,0
2,2020-01-24,0,0,0,0
3,2020-01-25,0,0,0,0
4,2020-01-26,0,0,0,0
5,2020-01-27,0,0,0,0
6,2020-01-28,0,0,0,0
7,2020-01-29,0,0,0,0
8,2020-01-30,0,0,0,0
9,2020-01-31,0,0,0,0
10,2020-02-01,0,0,0,0
11,2020-02-02,0,0,0,0
12,2020-02-03,0,0,0,0
13,2020-02-04,0,0,0,0
14,2020-02-05,0,0,0,0
15,2020-02-06,0,0,0,0
16,2020-02-07,0,0,0,0
17,2020-02-08,0,0,0,0
18,2020-02-09,0,0,0,0
19,2020-02-10,0,0,0,0
20,2020-02-11,0,0,0,0
21,2020-02-12,0,0,0,0
22,2020-02-13,0,0,0,0
23,2020-02-14,0,0,0,0
24,2020-02-15,0,0,0,0
25,2020-02-16,0,0,0,0
26,2020-02-17,0,0,0,0
27,2020-02-18,0,0,0,0
28,2020-02-19,0,0,0,0
29,2020-02-20,0,0,0,0
30,2020-02-21,0,0,0,0
31,2020-02-22,0,0,0,0
32,2020-02-23,0,0,0,0
33,2020-02-24,0,0,0,0
34,2020-02-25,0,0,0,0
35,2020-02-26,0,0,0,0
36,2020-02-27,0,0,0,0
37,2020-02-28,0,0,0,0
38,2020-02-29,0,0,0,0
39,2020-03-01,0,0,0,0
40,2020-03-02,0,0,0,0
41,2020-03-03,0,0,0,0
42,2020-03-04,0,0,0,0
43,2020-03-05,0,0,0,0
44,2020-03-06,0,0,0,0
45,2020-03-07,0,0,0,0
46,2020-03-08,1,0,0,0
47,2020-03-09,1,3,0,0
48,2020-03-10,1,4,0,0
49,2020-03-11,1,6,0,0
50,2020-03-12,5,10,1,0
51,2020-03-13,6,13,1,0
52,2020-03-14,6,15,1,0
53,2020-03-15,8,21,1,1
54,2020-03-16,13,22,1,1
55,2020-03-17,16,26,1,1
56,2020-03-18,21,33,1,1
57,2020-03-19,34,46,1,2
58,2020-03-20,44,53,1,2
59,2020-03-21,54,53,2,3
60,2020-03-22,63,66,2,3
61,2020-03-23,78,121,2,4
62,2020-03-24,92,153,2,4
63,2020-03-25,125,192,3,5
64,2020-03-26,170,242,3,5
65,2020-03-27,204,296,4,9
66,2020-03-28,264,355,5,10
67,2020-03-29,321,387,5,10
68,2020-03-30,369,428,9,11
69,2020-03-31,428,527,10,18
70,2020-04-01,482,623,10,20
71,2020-04-02,550,714,13,31
72,2020-04-03,620,775,16,37
73,2020-04-04,698,871,21,40
74,2020-04-05,747,970,22,45
75,2020-04-06,845,1081,25,59
76,2020-04-07,899,1140,30,62
77,2020-04-08,1043,1335,38,66
78,2020-04-09,1104,1506,42,79
79,2020-04-10,1162,1691,48,90
80,2020-04-11,1262,1840,55,94
81,2020-04-12,1333,1950,56,96
82,2020-04-13,1374,2035,62,105
83,2020-04-14,1424,2191,69,115
84,2020-04-15,1492,2278,77,121
85,2020-04-16,1586,2404,81,129
86,2020-04-17,1702,2511,85,137
87,2020-04-18,1788,2679,87,144
88,2020-04-19,1847,2942,94,148
89,2020-04-20,1984,3027,102,154
90,2020-04-21,2024,3177,102,171
91,2020-04-22,2210,3353,112,185
92,2020-04-23,2481,3467,114,191
93,2020-04-24,2773,3753,114,200
94,2020-04-25,3055,3882,120,205
95,2020-04-26,3173,4054,122,208
96,2020-04-27,3327,4133,126,213
97,2020-04-28,3490,4360,128,225
98,2020-04-29,3734,4523,134,235
99,2020-04-30,4235,4695,135,240
100,2020-05-01,4446,4864,141,248
101,2020-05-02,4745,4864,142,248
102,2020-05-03,5029,5112,145,253
103,2020-05-04,5244,5236,156,261
104,2020-05-05,5456,5808,161,275
105,2020-05-06,5734,5927,164,283
106,2020-05-07,6144,6120,164,294
107,2020-05-08,6498,6285,168,298
108,2020-05-09,6748,6436,173,304
109,2020-05-10,6979,6436,173,304
110,2020-05-11,7113,6672,179,311
111,2020-05-12,7302,6849,184,321
112,2020-05-13,7492,7065,185,326
113,2020-05-14,7702,7212,189,328
114,2020-05-15,7907,7433,192,332
115,2020-05-16,7990,7672,194,334
116,2020-05-17,8041,7672,194,334
117,2020-05-18,8394,7915,195,346
118,2020-05-19,8414,8047,196,366
119,2020-05-20,8619,8162,201,376
120,2020-05-21,8678,8284,203,386
121,2020-05-22,9035,8421,203,391
122,2020-05-23,9048,8567,204,391
123,2020-05-24,9052,8567,204,391
124,2020-05-25,9077,8567,207,391
125,2020-05-26,9280,8948,209,394
126,2020-05-27,9398,9073,210,400
127,2020-05-28,9435,9178,213,409
128,2020-05-29,9763,9456,213,418
129,2020-05-30,9763,9693,213,431
