,Date,TX Death
0,2020-01-22,
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,0.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,0.0
44,2020-03-06,0.0
45,2020-03-07,0.0
46,2020-03-08,0.0
47,2020-03-09,0.0
48,2020-03-10,0.0
49,2020-03-11,0.0
50,2020-03-12,0.0
51,2020-03-13,0.0
52,2020-03-14,0.0
53,2020-03-15,0.0
54,2020-03-16,1.0
55,2020-03-17,0.0
56,2020-03-18,1.0
57,2020-03-19,2.0
58,2020-03-20,1.0
59,2020-03-21,0.0
60,2020-03-22,0.0
61,2020-03-23,4.0
62,2020-03-24,2.0
63,2020-03-25,4.0
64,2020-03-26,6.0
65,2020-03-27,2.0
66,2020-03-28,7.0
67,2020-03-29,5.0
68,2020-03-30,4.0
69,2020-03-31,11.0
70,2020-04-01,14.0
71,2020-04-02,13.0
72,2020-04-03,13.0
73,2020-04-04,17.0
74,2020-04-05,20.0
75,2020-04-06,14.0
76,2020-04-07,14.0
77,2020-04-08,23.0
78,2020-04-09,21.0
79,2020-04-10,27.0
80,2020-04-11,28.0
81,2020-04-12,17.0
82,2020-04-13,0.0
83,2020-04-14,47.0
84,2020-04-15,46.0
85,2020-04-16,29.0
86,2020-04-17,35.0
87,2020-04-18,25.0
88,2020-04-19,24.0
89,2020-04-20,18.0
90,2020-04-21,21.0
91,2020-04-22,27.0
92,2020-04-23,17.0
93,2020-04-24,32.0
94,2020-04-25,30.0
95,2020-04-26,24.0
96,2020-04-27,16.0
97,2020-04-28,27.0
98,2020-04-29,42.0
99,2020-04-30,50.0
100,2020-05-01,34.0
101,2020-05-02,31.0
102,2020-05-03,20.0
103,2020-05-04,17.0
104,2020-05-05,23.0
105,2020-05-06,40.0
106,2020-05-07,26.0
107,2020-05-08,31.0
108,2020-05-09,45.0
109,2020-05-10,39.0
110,2020-05-11,11.0
111,2020-05-12,33.0
112,2020-05-13,26.0
113,2020-05-14,58.0
114,2020-05-15,56.0
115,2020-05-16,33.0
116,2020-05-17,30.0
117,2020-05-18,10.0
118,2020-05-19,22.0
119,2020-05-20,49.0
120,2020-05-21,22.0
121,2020-05-22,41.0
122,2020-05-23,25.0
123,2020-05-24,13.0
124,2020-05-25,8.0
125,2020-05-26,8.0
126,2020-05-27,25.0
127,2020-05-28,40.0
128,2020-05-29,26.0
129,2020-05-30,22.0
130,2020-05-31,24.0
131,2020-06-01,6.0
132,2020-06-02,20.0
133,2020-06-03,36.0
134,2020-06-04,33.0
135,2020-06-05,21.0
136,2020-06-06,29.0
137,2020-06-07,12.0
138,2020-06-08,6.0
139,2020-06-09,21.0
140,2020-06-10,32.0
141,2020-06-11,35.0
142,2020-06-12,17.0
143,2020-06-13,18.0
144,2020-06-14,19.0
145,2020-06-15,7.0
146,2020-06-16,47.0
147,2020-06-17,33.0
148,2020-06-18,43.0
149,2020-06-19,34.0
150,2020-06-20,24.0
151,2020-06-21,16.0
152,2020-06-22,10.0
153,2020-06-23,28.0
154,2020-06-24,28.0
155,2020-06-25,48.0
156,2020-06-26,32.0
157,2020-06-27,42.0
158,2020-06-28,27.0
159,2020-06-29,10.0
160,2020-06-30,21.0
161,2020-07-01,57.0
162,2020-07-02,44.0
163,2020-07-03,50.0
164,2020-07-04,33.0
165,2020-07-05,29.0
166,2020-07-06,18.0
167,2020-07-07,60.0
168,2020-07-08,98.0
169,2020-07-09,105.0
170,2020-07-10,95.0
171,2020-07-11,99.0
172,2020-07-12,80.0
173,2020-07-13,43.0
174,2020-07-14,87.0
175,2020-07-15,110.0
176,2020-07-16,129.0
177,2020-07-17,174.0
178,2020-07-18,130.0
179,2020-07-19,93.0
180,2020-07-20,62.0
181,2020-07-21,131.0
182,2020-07-22,197.0
